CubeCount; RenderTime; FrameTime
10; 0,6871944; 5,951356
20; 0,4787778; 1,5844
30; 0,5005223; 1,606413
40; 0,5413333; 1,643749
50; 0,5546591; 1,660195
60; 0,5932068; 1,719893
70; 0,6234362; 1,736055
80; 0,6425003; 1,760336
90; 0,6497427; 1,769631
100; 0,7061892; 1,861666
110; 0,7120396; 1,833497
120; 0,7533426; 1,873466
130; 0,7727722; 1,912108
140; 0,7867559; 1,901694
150; 0,8154243; 1,924204
160; 0,8489227; 1,957594
170; 0,879917; 2,000198
180; 0,8903759; 2,003661
190; 0,9310849; 2,051027
200; 0,9541508; 2,062716
210; 0,976221; 2,090177
220; 1,030461; 2,159981
230; 1,032444; 2,137947
240; 1,051538; 2,155
250; 1,094537; 2,188815
260; 1,157174; 2,26336
270; 1,212525; 2,328696
280; 1,216874; 2,344388
290; 1,247353; 2,345531
300; 1,314573; 2,468909
310; 1,292592; 2,391852
320; 1,338852; 2,452658
330; 1,373134; 2,463261
340; 1,462387; 2,629606
350; 1,424615; 2,531542
360; 1,458921; 2,563243
370; 1,479594; 2,587672
380; 1,513245; 2,618166
390; 1,514524; 2,6199
400; 1,545218; 2,640667
410; 1,574237; 2,679039
420; 1,645521; 2,751863
430; 1,649802; 2,753943
440; 1,674118; 2,770371
450; 1,726623; 2,84347
460; 1,816578; 2,981107
470; 1,796919; 2,940007
480; 1,83525; 2,973598
490; 1,860805; 2,989323
500; 1,863502; 2,966633
510; 1,903849; 2,999393
520; 1,930601; 3,037507
530; 1,952575; 3,071735
540; 1,96755; 3,070993
550; 2,027611; 3,158999
560; 2,033441; 3,160436
570; 2,058874; 3,171058
580; 2,110383; 3,234352
590; 2,142639; 3,264012
600; 2,150392; 3,262211
610; 2,170057; 3,275554
620; 2,203675; 3,316163
630; 2,251183; 3,379134
640; 2,240443; 3,358286
650; 2,255565; 3,372012
660; 2,30085; 3,419284
670; 2,358554; 3,465207
680; 2,369336; 3,486026
690; 2,38826; 3,50882
700; 2,41486; 3,535309
710; 2,432425; 3,55036
720; 2,472892; 3,603304
730; 2,478084; 3,602695
740; 2,556653; 3,694043
750; 2,607641; 3,760523
760; 2,630042; 3,767769
770; 2,658297; 3,803454
780; 2,631399; 3,759283
790; 2,662838; 3,800075
800; 2,695923; 3,824957
810; 2,697711; 3,820786
820; 2,760595; 3,911309
830; 2,783786; 3,916516
840; 2,813073; 3,942008
850; 2,87659; 4,037006
860; 2,903893; 4,072362
870; 2,870112; 4,005045
880; 2,908398; 4,043103
890; 2,933335; 4,083968
900; 2,931983; 4,082004
910; 2,978446; 4,131629
920; 3,017476; 4,180932
930; 3,060002; 4,215639
940; 3,059349; 4,213977
950; 3,083206; 4,27586
960; 3,113297; 4,307926
970; 3,140826; 4,331458
980; 3,174575; 4,403028
990; 3,21978; 4,435305
1000; 3,225958; 4,41178
1010; 3,362561; 4,562846
1020; 3,286148; 4,468008
1030; 3,339422; 4,534612
1040; 3,351769; 4,528396
1050; 3,363624; 4,55645
1060; 3,433666; 4,642831
1070; 3,422235; 4,614692
1080; 3,459301; 4,651087
1090; 3,518358; 4,717182
1100; 3,549848; 4,766867
1110; 3,53195; 4,738171
1120; 3,546027; 4,748847
1130; 3,581558; 4,783508
1140; 3,617708; 4,817885
1150; 3,69226; 4,939654
1160; 3,729903; 4,978311
1170; 3,712239; 4,932711
1180; 3,719763; 4,945671
1190; 3,765313; 4,988196
1200; 3,883029; 5,14071
1210; 3,871346; 5,122198
1220; 3,828467; 5,085128
1230; 3,883021; 5,13199
1240; 3,878608; 5,128908
1250; 3,90009; 5,136876
1260; 3,909757; 5,127869
1270; 3,993997; 5,211952
1280; 3,991894; 5,223676
1290; 4,00863; 5,244448
1300; 4,014251; 5,243213
1310; 4,090518; 5,349186
1320; 4,095954; 5,347196
1330; 4,126293; 5,367748
1340; 4,179383; 5,417011
1350; 4,184391; 5,417769
1360; 4,180406; 5,417978
1370; 4,233284; 5,489211
1380; 4,231869; 5,487884
1390; 4,2991; 5,548048
1400; 4,332304; 5,579288
1410; 4,334372; 5,585378
1420; 4,340805; 5,598027
1430; 4,410326; 5,671407
1440; 4,425544; 5,693837
1450; 4,442012; 5,709948
1460; 4,475497; 5,734057
1470; 4,527808; 5,797037
1480; 4,489903; 5,757257
1490; 4,576227; 5,841442
1500; 4,653279; 5,944899
1510; 4,67349; 5,967858
1520; 4,657951; 5,913313
1530; 4,79445; 6,072519
1540; 4,784956; 6,068687
1550; 4,785483; 6,06642
1560; 4,74273; 6,008197
1570; 4,803706; 6,082315
1580; 4,895816; 6,19906
1590; 4,955367; 6,253516
1600; 4,908626; 6,18108
1610; 4,928364; 6,193478
1620; 4,896695; 6,169439
1630; 4,944727; 6,229686
1640; 4,968822; 6,257676
1650; 4,999969; 6,278856
1660; 5,023281; 6,298203
1670; 5,035686; 6,30829
1680; 5,083151; 6,366853
1690; 5,128586; 6,409313
1700; 5,340671; 6,685207
1710; 5,124099; 6,424709
1720; 5,194082; 6,491824
1730; 5,202006; 6,491813
1740; 5,273971; 6,56841
1750; 5,261293; 6,548228
1760; 5,278247; 6,575437
1770; 5,297288; 6,588891
1780; 5,399235; 6,689848
1790; 5,407769; 6,705832
1800; 5,419214; 6,706739
1810; 5,430001; 6,714474
1820; 5,459258; 6,748877
1830; 5,460773; 6,756785
1840; 5,485364; 6,786392
1850; 5,508416; 6,803131
1860; 5,548119; 6,843571
1870; 5,599384; 6,898288
1880; 5,583029; 6,88345
1890; 5,59195; 6,886726
1900; 5,641773; 6,951419
1910; 5,664349; 6,975951
1920; 5,744913; 7,053919
1930; 5,69789; 6,991197
1940; 5,755795; 7,059436
1950; 5,792414; 7,101866
1960; 5,775461; 7,084892
1970; 5,80974; 7,124952
1980; 5,849136; 7,175347
1990; 5,892158; 7,197815
2000; 5,923758; 7,227635
