CubeCount; RenderTime; FrameTime
10; 0,6196156; 5,856986
20; 0,3216463; 1,39925
30; 0,3452506; 1,428265
40; 0,3946328; 1,432569
50; 0,3773659; 1,447828
60; 0,390422; 1,463859
70; 0,4447057; 1,489182
80; 0,458396; 1,531478
90; 0,5133025; 1,604074
100; 0,5107879; 1,550753
110; 0,5216294; 1,547688
120; 0,5263532; 1,554038
130; 0,5661899; 1,587372
140; 0,6175323; 1,616684
150; 0,6152575; 1,613065
160; 0,6446103; 1,649486
170; 0,6873124; 1,651784
180; 0,7062786; 1,66309
190; 0,7289518; 1,697636
200; 0,7605216; 1,715956
210; 0,7703073; 1,711425
220; 0,7838693; 1,738199
230; 0,8377447; 1,788173
240; 0,833918; 1,74921
250; 0,8559267; 1,772826
260; 0,9276744; 1,867447
270; 0,9650971; 1,888453
280; 0,9667704; 1,873524
290; 0,9780322; 1,882288
300; 1,041072; 1,938137
310; 1,053298; 1,932468
320; 1,060785; 1,948021
330; 1,091991; 1,965807
340; 1,117347; 1,975436
350; 1,140593; 1,999324
360; 1,215301; 2,120044
370; 1,27016; 2,160731
380; 1,21607; 2,047999
390; 1,202242; 2,048155
400; 1,25207; 2,087919
410; 1,25975; 2,088228
420; 1,274782; 2,094836
430; 1,296944; 2,113271
440; 1,34096; 2,139905
450; 1,332396; 2,132523
460; 1,367872; 2,162616
470; 1,397663; 2,191934
480; 1,416444; 2,188173
490; 1,445754; 2,271151
500; 1,481834; 2,304938
510; 1,545794; 2,375187
520; 1,526818; 2,314103
530; 1,54473; 2,335338
540; 1,574723; 2,344701
550; 1,598993; 2,372348
560; 1,653476; 2,460399
570; 1,678088; 2,425524
580; 1,68678; 2,449376
590; 1,707636; 2,464129
600; 1,74672; 2,497069
610; 1,761153; 2,494893
620; 1,825397; 2,558444
630; 1,800132; 2,495763
640; 1,835119; 2,534964
650; 1,845793; 2,529118
660; 1,878789; 2,566558
670; 1,901546; 2,580533
680; 1,931886; 2,628124
690; 1,929482; 2,592264
700; 2,011546; 2,672892
710; 2,003731; 2,661388
720; 1,999313; 2,659261
730; 2,013964; 2,661317
740; 2,047923; 2,694241
750; 2,121423; 2,771131
760; 2,104008; 2,74066
770; 2,114351; 2,736888
780; 2,127414; 2,751262
790; 2,219943; 2,862083
800; 2,329264; 3,011334
810; 2,225494; 2,842487
820; 2,217514; 2,821556
830; 2,253659; 2,844132
840; 2,256654; 2,847082
850; 2,314932; 2,929147
860; 2,298048; 2,887299
870; 2,328375; 2,907879
880; 2,338716; 2,912094
890; 2,378354; 2,947674
900; 2,397493; 2,954492
910; 2,451261; 3,02112
920; 2,446136; 3,034476
930; 2,465164; 3,036465
940; 2,478106; 3,047518
950; 2,519685; 3,113296
960; 2,51452; 3,076805
970; 2,528944; 3,092406
980; 2,564761; 3,126337
990; 2,558096; 3,133921
1000; 2,60398; 3,152412
1010; 2,588049; 3,141455
1020; 2,61401; 3,171732
1030; 2,674492; 3,224432
1040; 2,698179; 3,281954
1050; 2,671448; 3,238978
1060; 2,661319; 3,215339
1070; 2,689389; 3,246797
1080; 2,802849; 3,419927
1090; 2,759796; 3,334731
1100; 2,790943; 3,346414
1110; 2,79558; 3,368656
1120; 2,80633; 3,384719
1130; 2,859398; 3,426419
1140; 2,860185; 3,431702
1150; 2,892861; 3,483035
1160; 2,86981; 3,441316
1170; 2,936959; 3,503736
1180; 2,947045; 3,528793
1190; 2,926951; 3,504418
1200; 2,965282; 3,540448
1210; 2,990581; 3,581335
1220; 3,063851; 3,65365
1230; 3,043349; 3,618704
1240; 3,066181; 3,666789
1250; 3,036326; 3,637917
1260; 3,083264; 3,672366
1270; 3,125497; 3,721819
1280; 3,130305; 3,728253
1290; 3,175519; 3,76138
1300; 3,190934; 3,77651
1310; 3,450801; 4,08663
1320; 3,27008; 3,866477
1330; 3,258981; 3,827982
1340; 3,305334; 3,895832
1350; 3,31342; 3,898604
1360; 3,323112; 3,898867
1370; 3,372167; 3,955556
1380; 3,384521; 3,971063
1390; 3,419911; 3,993896
1400; 3,426249; 4,012423
1410; 3,497193; 4,088208
1420; 3,498268; 4,088097
1430; 3,512317; 4,08334
1440; 3,542997; 4,117152
1450; 3,594223; 4,178715
1460; 3,574771; 4,156287
1470; 3,585675; 4,16855
1480; 3,66908; 4,258644
1490; 3,637476; 4,197334
1500; 3,659545; 4,213596
1510; 3,668791; 4,255173
1520; 3,691345; 4,259573
1530; 3,709188; 4,276036
1540; 3,764085; 4,338705
1550; 3,736076; 4,309009
1560; 3,746043; 4,314657
1570; 3,767807; 4,335509
1580; 3,824671; 4,402602
1590; 3,824816; 4,385068
1600; 3,859929; 4,426137
1610; 3,956549; 4,55177
1620; 3,918145; 4,480093
1630; 3,955602; 4,514588
1640; 3,964662; 4,533998
1650; 4,014589; 4,571932
1660; 4,030289; 4,588299
1670; 4,028155; 4,597292
1680; 4,08513; 4,650794
1690; 4,100496; 4,632833
1700; 4,12605; 4,66965
1710; 4,174762; 4,734296
1720; 4,152812; 4,689381
1730; 4,16608; 4,694767
1740; 4,240943; 4,783677
1750; 4,203878; 4,744933
1760; 4,223268; 4,752219
1770; 4,298826; 4,853725
1780; 4,285349; 4,83993
1790; 4,314407; 4,844159
1800; 4,328549; 4,866743
1810; 4,357936; 4,903366
1820; 4,378847; 4,910455
1830; 4,419328; 4,958704
1840; 4,505471; 5,061786
1850; 4,458873; 5,008308
1860; 4,48604; 5,016924
1870; 4,538849; 5,086075
1880; 4,531528; 5,083692
1890; 4,535853; 5,076828
1900; 4,588013; 5,132694
1910; 4,608452; 5,163771
1920; 4,626195; 5,153891
1930; 4,636239; 5,174243
1940; 4,664456; 5,223753
1950; 4,677514; 5,22443
1960; 4,734465; 5,28572
1970; 4,770899; 5,328138
1980; 4,835249; 5,394893
1990; 4,779551; 5,321892
2000; 4,87175; 5,42714
